indicator,signals,count,seen_in,example_clue
opening,selection,1,20260706-16D,"Airy editor’s opening article, authentic"
or,link,1,20260710-25A,Single or plural pronoun in conjunction for Germans
orator’s,homophone,1,20260706-13A,Put up orator’s level
ordered,anagram,1,20260629-5D,One potted starter of lemon sorbet ordered
otherwise,anagram,1,20260706-17D,"It’s drunk, otherwise it’s eaten"
out,deletion,1,20260718-14A,Suspicion of hot meal that’s left out
outside of,container,1,20260723-1D,"Stitch up outside of top of breeches, where flies may get caught"
outspoken,homophone,1,20260722-13D,Deputy feeling less outspoken as well
over,reversal,1,20260713-16D,Cats maybe cross over threshold?
overcomes,container,1,20260711-21D,Bottle still spinning overcomes resistance
overseeing,link,1,20260701-2D,Cheer TV doctor overseeing surgical procedure
overturned,reversal,1,20260709-17D,"Having overturned, swerves around difficult racetrack"
packaging,container,1,20260717-28A,Firm searches packaging at counter
part of,hidden,1,20260724-8D,Broad spiral rotating part of every galaxy
partly,hidden,1,20260701-22D,Partly explain remark legally directed against property
past,link,1,20260702-7D,Miss Cambridge University’s past love
patrolling,insertion,1,20260714-11A,"Ignorant, like many police officers patrolling centre of Swansea"
penned by,container,1,20260629-26A,Clumsy article penned by dad — check working
penned by,insertion,1,20260715-12A,Clever book penned by Porter?
penning,insertion,1,20260714-13D,"Setter penning Listener, although missing last piece of mechanism"
picked up,homophone,1,20260717-26D,Picked up delivery of half-dozen eggs
piece of,hidden,1,20260720-11A,Piece of film art initially displays something intoxicating
pinching,insertion,1,20260703-8D,"Since pinching copy, regret mounts up"
pinning,container,1,20260722-16D,Show peg pinning casual garment
plastic,anagram,1,20260717-25A,Plastic colanders plugged by choosy cooking academy
played,anagram,1,20260630-14D,Played other tune to that
plays,anagram,1,20260704-10A,Lift your gaze up as Verdi plays
plugged by,insertion,1,20260717-25A,Plastic colanders plugged by choosy cooking academy
prepared,anagram,1,20260709-10A,Who’s prepared stage for the moment the curtain goes up?
primarily,selection,1,20260709-13D,"In field one leads dog, primarily bone idle, on run"
processed,anagram,1,20260704-27A,Nobelium is processed by key plant
promoted,anagram,1,20260708-18D,Person choosing to have 100 plus soldiers promoted for protection
pronounced,homophone,1,20260710-18A,"Sucker pronounced not entirely safe, idiomatically"
propped up,reversal,1,20260717-20D,Wood slab propped up in hearthside glow
propping up,link,1,20260629-3D,Finish off drug propping up party animal
protected by,container,1,20260701-15D,City in which you must be protected by vehicle insurance
provided by,link,1,20260706-14A,Superb quality in publication with good binding provided by New Church
punching,insertion,1,20260717-15A,American thoroughly beat darn punching bag
pursued by,link,1,20260706-19D,"Pursued by police, rushed off"
put round,container,1,20260718-8D,Measuring device’s safe when put round head
racing,anagram,1,20260704-9D,Misbehaving punk scooterist racing
raised,reversal,1,20260714-3D,Court raised point during judicial examination
read out,homophone,1,20260630-20D,Number of joint head of faculty read out
rear of,selection,1,20260716-21D,"In a perfect world, I mooch around rear of house"
reassigned,anagram,1,20260724-14A,"Bachelor say, if gender reassigned, probably missing balls?"
receives,container,1,20260722-8A,"Star student, when is first in theory, receives prize like that"
reconstruction of,anagram,1,20260710-8D,Lanthanum used in reconstruction of Nordic warship
reduced,hidden,1,20260629-21A,Decent return FTSE domestics reduced
reduction in,deletion,1,20260715-3D,A fight to interrupt reduction in unorthodoxy in this area
reflected,reversal,1,20260711-26A,A little variation in level reflected warming at sea
reflecting,reversal,1,20260701-11A,Turner and others reflecting about what gets him going
refurbished,anagram,1,20260708-15D,Racer needs moped refurbished
regrouped,anagram,1,20260711-25A,Column left behind regrouped at speed
released from,deletion,1,20260707-13A,"Jack, released from harm, put into operation"
relocating,anagram,1,20260629-14A,Injure supporter in capital relocating northern star
removed at regular intervals,selection,1,20260703-7D,I get tight shorts removed at regular intervals
removing,deletion,1,20260718-12A,Fantasise removing last of bed sheets
renovated,anagram,1,20260629-7D,Place bro had renovated?
reordering,anagram,1,20260722-4D,Mac she used in reordering synopsis
replacing,link,1,20260718-10A,Easygoing unknown replacing another in broadcast
report of,homophone,1,20260721-25D,Report of old city’s section of canal
reported,homophone,1,20260720-25A,Swinger’s gin and ecstasy tablets reported
reportedly,homophone,1,20260708-13A,Presenter reportedly once had sex with failed actress
restored,anagram,1,20260711-24A,Last minute cuts restored later
restricted by,container,1,20260721-8D,Fellows restricted by editor’s changes
retired,reversal,1,20260630-16D,Retired chap and ex-PM almost go to war
retreating,reversal,1,20260630-9A,"In Kabul, are Taliban retreating on both sides?"
return,reversal,1,20260629-21A,Decent return FTSE domestics reduced
returning,reversal,1,20260722-25A,"Polar bear’s back, on returning with particular force?"
reverse of,reversal,1,20260704-14A,Not entirely well after reverse of healthy snack
revised,anagram,1,20260724-25A,Revised dates agreed after loud festival
revolutionary,reversal,1,20260720-12A,Plug in hosts connected to revolutionary network: cause of power surge?
rocks,anagram,1,20260715-1A,London borough was the formal source of these rocks
rolls,reversal,1,20260711-18A,Cook makes moist rolls
round,container,1,20260702-10A,Doctor and sister starting round quietly in formal attire
round,reversal,1,20260717-21A,Performed round with King’s Singer
rounding,reversal,1,20260716-24A,Regret rounding on crowd manipulator
rounds,reversal,1,20260724-15D,"Decent plain rounds within compass of bell-ringer, nearly"
ruined,anagram,1,20260703-23A,"Work is due, dream life’s ruined"
running,anagram,1,20260709-24A,I’m on time but running around UK city
running through it,insertion,1,20260714-15D,Only home with motorway running through it is extremely awe-inspiring
safeguards,hidden,1,20260703-4D,"What’s cast, forgoing other safeguards"
sample of,hidden,1,20260630-21D,Sample of paunchy presenter’s perfume
saving,deletion,1,20260724-20A,Famous printmaker saving a frame for painting
screens,link,1,20260717-18D,Small cinema complex screens not all there
section of,hidden,1,20260723-28A,Section of puzzles team editorially kept just out of hot water?
secures,container,1,20260707-19A,Tool secures device expelling content behind washer
see,link,1,20260711-12A,"Cycling round Lewis, see western one?"
seen in,insertion,1,20260721-14A,Corruption of company manager’s first seen in witness statement
seizing,container,1,20260630-6D,Legendary outlaw’s lover ditching male and seizing day
sent out,anagram,1,20260713-8D,Seat assignment sent out as text?
served up,reversal,1,20260710-21D,Helping served up during pub’s spicy meal
set in,insertion,1,20260708-19D,Prominent story central to article set in stone
short-tailed,deletion,1,20260717-8D,Toss back short-tailed shark
shot,anagram,1,20260720-1A,Action-led shot framing Coppola’s first western
sitting astride,container,1,20260716-13A,"Sitting astride modest conveyance hard, a few make strong impression"
some from,hidden,1,20260715-25A,Some from The Sun irritated about being occupied
some members of,hidden,1,20260721-21D,Some members of old law society upset ancient king
somewhat,hidden,1,20260710-17A,Feel embarrassed somewhat about scrap
sorted out,anagram,1,20260715-16A,Disturbance in court sorted out
source of,selection,1,20260715-1A,London borough was the formal source of these rocks
splits,insertion,1,20260724-12A,See one box splits quite apart
spooner’s,homophone,1,20260702-16A,Spooner’s keen for cow as grass management aid
squeezing,container,1,20260711-17D,Trouble squeezing letters in for marginal note
squirming,anagram,1,20260711-16A,"Embarrassed at poem, thus squirming"
stands for,link,1,20260710-14D,"Perhaps a blow, being all in when Louisiana stands for America"
start to,selection,1,20260714-27A,Start to suspect terrible setter’s extremely self-confident in examination
starting,anagram,1,20260702-10A,Doctor and sister starting round quietly in formal attire
starting late,deletion,1,20260704-19A,Guts of pub poets starting late
starts to,selection,1,20260713-23D,"Smoke starts to intoxicate gamblers inside saloon, perhaps"
starts with,selection,1,20260707-26D,Digital feature starts with thesis on electronics
stationed in,insertion,1,20260629-23A,Last lieutenant stationed in United India and China
stifles,container,1,20260709-11A,Firm pressure stifles resistance group
stopped by,insertion,1,20260630-27A,Disgusting racket stopped by order
stores,container,1,20260709-3D,Where kippers may be found in Britain backed opening fish stores
stores,hidden,1,20260717-24D,Shortly plan online stores
storing,container,1,20260707-1A,Second city storing rubbish in pile
striking,deletion,1,20260717-11A,Land excellent jab striking face of boxer in brazen burst
stripped of,deletion,1,20260703-22A,Bury doctor going after mentor stripped of title
struggling,anagram,1,20260711-14D,Note supplier from China struggling with post
stuck-up,reversal,1,20260717-9D,An old woman adopting stuck-up air of cultivation
stupidly,anagram,1,20260629-15D,Very old one stupidly drunk on this in ancient Rome
suffering,anagram,1,20260704-4A,I’m tops — and I’m suffering positivity?
supported by,link,1,20260715-23D,Options to be selected from pieces supported by you
supporting,link,1,20260703-3D,"Begrudge supporting old leader of mafia shot here, there and everywhere"
supports,link,1,20260629-2D,Hostile island to the north of California supports mini uprising
suppressing,container,1,20260710-13A,"Set fuel to burn, suppressing naked anger"
surface of,selection,1,20260717-5A,Orbiter linked to Mars rovers on surface of planet
surrounding,selection,1,20260711-2D,Draw line between Florence and those surrounding settlements
suspect,anagram,1,20260724-1D,Suspect Bard wore every costume
swapping,link,1,20260711-4D,Very friendly con swapping sides for rematch
swirling,reversal,1,20260715-17A,Last of smoke swirling around secure kitchen appliance
swirling,anagram,1,20260715-21A,Punishment area today finally covered in swirling raindrops
tail removed,deletion,1,20260707-27A,Tail removed from fish in barrel
taken aback,reversal,1,20260702-3A,"Taken aback, coughed up Chinese university society fine"
taken by,insertion,1,20260713-12A,Control of retinue taken by others
taken by,container,1,20260720-22D,Collect degree taken by dimwit
taking in,container,1,20260723-7D,Fancy taking in piggy?
terribly,anagram,1,20260707-14D,Hesitant centaur terribly popular
that has no ending,deletion,1,20260721-1A,"Minister, old man with tale that has no ending"
that’s oxygenated,insertion,1,20260708-22A,Fish needing water that’s oxygenated
to avoid,deletion,1,20260702-27A,Move segment of flight to avoid America
to be new,anagram,1,20260718-21A,Creative work? Hard in fact to be new
to check,container,1,20260709-8D,Faint sound turned up to check note for amplitude
to contain,container,1,20260715-19D,"Want expert to contain agricultural disease, note"
to control,container,1,20260721-11A,Learning to control current in river
to cut,insertion,1,20260723-2D,"How unpleasant to cut half of pudding, or thereabouts"
to eat,container,1,20260716-3D,Time to eat a very succulent growth
to enter,insertion,1,20260629-22A,I’m obliged to enter swanky compound
to give away,deletion,1,20260708-6D,Shop intended to give away carpet
to go in,insertion,1,20260716-11A,First person to go in to admire brown study
to grab,insertion,1,20260722-23D,I managed to grab sunbed in the end — and took it easy
to interrupt,insertion,1,20260715-3D,A fight to interrupt reduction in unorthodoxy in this area
to leave,deletion,1,20260714-25A,Order policeman to leave mate following cigarette
to limit,insertion,1,20260724-7D,Male genes modified to limit alpha element
to north,reversal,1,20260724-16D,A certain stage not available to North Hollywood resident?
to replace,link,1,20260707-18D,"Uncouth, rather rowdy: time to replace Democrat"
to save,insertion,1,20260708-21D,Dated observation failing to save author making a comeback
to secure,container,1,20260702-5D,Extra payment put up to secure very large venture
to track,link,1,20260710-29A,Harder to track each person in a rightish district?
top of,selection,1,20260723-1D,"Stitch up outside of top of breeches, where flies may get caught"
topless,deletion,1,20260714-21D,Outlet for one topless outfit
touring,container,1,20260629-10A,Onset of ardent romance when touring Cape Bay
touring,insertion,1,20260713-20D,Visitor to Oz touring river close to city
transferring,anagram,1,20260715-11A,Chap’s instrument transferring current in Caribbean island
translated,anagram,1,20260721-7D,"Sacred text I had translated, having received bursary?"
travelling,anagram,1,20260713-25A,Father travelling again to region of South America
trifling,anagram,1,20260703-20D,"Greeting from Satan, trifling with me"
tucked into,insertion,1,20260707-25A,Renegade wife tucked into ruptured sausage
turned out to be,link,1,20260630-24D,Extremely “biddable” nationalist turned out to be corrupt
turned up,reversal,1,20260709-8D,Faint sound turned up to check note for amplitude
turning up,reversal,1,20260721-1D,Friar turning up in various plays — musical contribution to worship
turns to,deletion,1,20260704-6D,One admitted being restless as month turns to November
twisted,reversal,1,20260701-20A,"Remained twisted, tense and obscene"
two thirds of,deletion,1,20260710-5D,Estate possibly blocking two thirds of Midland city upset intimidating figure in his field?
under,link,1,20260701-9D,Made anxious under previous religious office
underpinned by,link,1,20260704-18D,Tree underpinned by serious immediate treatment
undone,anagram,1,20260723-22A,Opening words in panto come undone with European Union intervention
unkempt,anagram,1,20260723-11A,Unkempt Asian hair with bright top
unlimited,deletion,1,20260701-21A,Brief stint to improve football club before unlimited team growth
unstable,anagram,1,20260701-1D,Building problem — slope flanking siding unstable
unusual,anagram,1,20260706-15D,"Not even unusual urge stops terrible liar, traitor ultimately"
unusually,anagram,1,20260702-11D,Unusually tall iceberg a geographical phenomenon
upcoming,reversal,1,20260707-7D,Article: story upcoming beat journalist turned away
uprising,reversal,1,20260629-2D,Hostile island to the north of California supports mini uprising
used in,insertion,1,20260710-8D,Lanthanum used in reconstruction of Nordic warship
used in,link,1,20260714-2D,Language once used in a northern boxing match
vaguely,anagram,1,20260715-1D,Heat and rain to west vaguely given by meteorological device
various,anagram,1,20260721-1D,Friar turning up in various plays — musical contribution to worship
vocal,homophone,1,20260710-24D,These are very desirable vocal sounds
wandering,anagram,1,20260716-6D,"Aimless wandering, concerned with earthquake"
wanting,deletion,1,20260706-10D,"Crafty chap, evil animal, badly wanting power"
we hear,homophone,1,20260708-10A,We hear continuous sound
wearing,container,1,20260702-13D,"Couple in middle of Gretna wearing wreathes, madly in love"
wearing,insertion,1,20260717-27A,Like to enter clubs wearing golf jacket
wears,container,1,20260629-18D,"US writer, dear, popular, regularly wears silk"
when,link,1,20260710-14D,"Perhaps a blow, being all in when Louisiana stands for America"
while,insertion,1,20260722-17A,African driver’s ruckus while being driven?
will be,link,1,20260710-1A,"Abandoned, of course I will be wild"
with input from,insertion,1,20260711-15D,Trace family’s heir with input from American detective
with tail missing,deletion,1,20260720-26A,Creature caught in coastal waters — throw back with tail missing
withdrawn,reversal,1,20260702-25A,Great chunk of retirement savings withdrawn
within compass of,insertion,1,20260724-15D,"Decent plain rounds within compass of bell-ringer, nearly"
without beginning on it,deletion,1,20260704-20A,Considering grid without beginning on it
worried,anagram,1,20260706-11A,Opposing commander isn’t worried
yielding,deletion,1,20260706-4D,Guarantee yielding right result
–,deletion,1,20260718-27A,N + L – F? Neat
