surface,letters,count,kind,reusable,seen_in,example_clue,example_answer
conjunction for germans,UND,1,foreign,yes,20260710-25A,Single or plural pronoun in conjunction for Germans,UNWED
connected to,RE,1,abbreviation,yes,20260720-12A,Plug in hosts connected to revolutionary network: cause of power surge?,ADRENALIN
conservation society,NT,1,abbreviation,yes,20260720-10A,Invasive element’s current information on American conservation society,ANTIGEN
consumed,ATE,1,synonym,yes,20260708-27A,Person of great strength consumed salt,TITANATE
contact,PAGE,1,synonym,yes,20260723-5D,Contact Georgia about existing time difference?,AGEGAP
continuous,STRAIGHT,1,synonym,yes,20260708-10A,We hear continuous sound,STRAIT
control,RULE,1,synonym,yes,20260706-24A,Spies in constant control endlessly essential,CRUCIAL
copper,CU,1,chemical,yes,20260717-16D,Copper led empty investigation up close,CULDESAC
coppola’s first,C,1,single-letter,no,20260720-1A,Action-led shot framing Coppola’s first western,OCCIDENTAL
copy,CC,1,abbreviation,yes,20260703-8D,"Since pinching copy, regret mounts up",ACCRUES
corrupt,BAD,1,synonym,yes,20260707-19D,"Erstwhile leader, Liberal in corrupt victory",BALDWIN
cost,RATE,1,synonym,yes,20260706-26A,"Decline, for example, going into retreat ending in terrible cost",DEGENERATE
coughed up,PAID,1,synonym,yes,20260702-3A,"Taken aback, coughed up Chinese university society fine",DIAPHANOUS
country house,GRANGE,1,synonym,yes,20260714-12A,Covering many miles working in large country house,LONGRANGE
country’s leader,C,1,other,no,20260706-6D,"Estimation of position that’s insensitive about country’s leader, monarch carrying on",DEADRECKONING
cow,LOWER,1,synonym,yes,20260702-16A,Spooner’s keen for cow as grass management aid,LAWNMOWER
crew,MAN,1,synonym,yes,20260716-24D,"Crew, you shouldn’t have giant fish",MANTA
crew,TEAM,1,synonym,yes,20260722-18A,Crew on board ship cooks,STEAMS
crew,ACHT,1,foreign,yes,20260722-21D,Boat last to employ crew from Germany?,YACHT
crime,THEFT,1,synonym,yes,20260708-14D,Talk about cut beginning to affect crime checks,CHEWTHEFAT
criminal,PIRATE,1,synonym,yes,20260723-23D,Criminal not taking first cross,IRATE
criminal gang,MOB,1,synonym,yes,20260708-1A,"British criminal gang let out — in retrospect, a disaster waiting to happen",TIMEBOMB
critical of,ANTI,1,synonym,yes,20260722-2D,Old buffoon critical of Conservative,ANTIC
criticism,RAP,1,synonym,yes,20260713-21D,Spirit of good admin worker broken by criticism,GRAPPA
crony,PAL,1,synonym,yes,20260706-21A,"Shock assistant, turning against crony",APPAL
cross,CUT,1,synonym,yes,20260630-13A,Cross dons can rapidly empty chat room,LOCUTORY
cross,ROOD,1,synonym,yes,20260713-16D,Cats maybe cross over threshold?,DOORSTEP
crowd,MOB,1,synonym,yes,20260716-1A,Ranting crowd in turn succeeded breaking into club,BOMBAST
crowd,MASS,1,synonym,yes,20260716-24A,Regret rounding on crowd manipulator,MASSEUR
crumbs!,MY,1,synonym,yes,20260724-10A,Lolly somebody coated with crumbs!,MONEY
cup,C,1,single-letter,yes,20260722-7D,Country’s top player first of all in cup appearance,COSTARICA
current unit,AMPS,1,abbreviation,yes,20260718-9A,In final months current unit leaves temporary base,DECAMPS
curved structure,ARCH,1,synonym,yes,20260706-1D,Curved structure over motorway in spot I don’t know,SEARCHME
cut,HEW,1,synonym,yes,20260708-14D,Talk about cut beginning to affect crime checks,CHEWTHEFAT
cut,LOP,1,synonym,yes,20260716-20A,"Powerful expression being cut back, aim only for resolution",POLYNOMIAL
cut off,AWAY,1,synonym,yes,20260710-4D,Australia cut off Japanese conductor,OZAWA
cuts,CLIPS,1,synonym,yes,20260707-3D,Energy cuts end in catastrophe — and darkness,ECLIPSE
dad,POP,1,synonym,yes,20260703-11A,"Dad, mature, with wife leaving Chicago?",POPGROUP
daily,PAPER,1,synonym,yes,20260630-8D,Daily bread for Buffalo Bill?,PAPERMONEY
darn,HELL,1,synonym,yes,20260717-15A,American thoroughly beat darn punching bag,SHELLAC
dash,BRIO,1,synonym,yes,20260718-15A,Cold dash in a hired car having unfixed roof,CABRIOLET
daughter,D,1,abbreviation,yes,20260706-22A,Piety in turn followed by rows between daughter and son,GODLINESS
dawn,SUNUP,1,synonym,yes,20260718-6A,Conclude Dawn has had a change of heart,SUMUP
day,THUR,1,abbreviation,yes,20260630-6D,Legendary outlaw’s lover ditching male and seizing day,ARTHURIAN
de gaulle’s veto,NON,1,foreign,yes,20260720-4D,De Gaulle’s veto on return of lager designed to prevent accidents,NONSLIP
"dear, popular, regularly",EROUA,1,other,no,20260629-18D,"US writer, dear, popular, regularly wears silk",KEROUAC
decay,Y,1,other,yes,20260718-20A,See psychic ability decay finally,ESPY
definitive,CLASSIC,1,synonym,yes,20260701-5D,Uncovered definitive sweet or savoury drink,LASSI
degree,MA,1,abbreviation,yes,20260720-22D,Collect degree taken by dimwit,AMASS
delay,LAG,1,synonym,yes,20260706-2D,Instruction to express impatience with delay in middle of speech,TUTELAGE
deliberate inaccuracy,LIE,1,synonym,yes,20260720-7D,Deliberate inaccuracy in article from abroad,ALIEN
delivery of half-dozen,OVER,1,cricket,yes,20260717-26D,Picked up delivery of half-dozen eggs,OVA
depression,TROUGH,1,synonym,yes,20260707-20A,Husband gripped by depression no longer able to function,THROUGH
depression,N,1,single-letter,yes,20260720-5D,Charity officer’s abysmal morale ending in depression,ALMONER
deputy,SUB,1,synonym,yes,20260724-4A,Poorly rated deputy ready to be fired,SUBPRIME
desperate,SORE,1,synonym,yes,20260723-5A,"Perhaps deodorant can look desperate, going back on area",AEROSOL
despicable,VILE,1,synonym,yes,20260701-3D,Abusively criticised bloody despicable cuts,REVILED
detective,PI,1,abbreviation,yes,20260711-15D,Trace family’s heir with input from American detective,SUSPICION
device,DE,1,other,yes,20260707-19A,Tool secures device expelling content behind washer,BIDET
diagram,PLAN,1,synonym,yes,20260722-1A,A variable in diagram minus one — is square,PLAZA
difficulty,BIND,1,synonym,yes,20260715-15D,"Difficulty about large fruit, one encountered for the first time?",BLINDDATE
digger,DELVER,1,synonym,yes,20260701-20D,Rescue one that’s been crushed by digger,DELIVER
dimwit,ASS,1,synonym,yes,20260720-22D,Collect degree taken by dimwit,AMASS
dismisses,YORKS,1,cricket,yes,20260707-4D,County now divided dismisses charter,YORKSHIRE
display,EXPO,1,synonym,yes,20260703-10A,One who’s fetching display firstly selects the frames,SEXPOT
display,DY,1,other,yes,20260720-24D,Romantic hero’s bow in hollow display,DARCY
displaying seat,MOONING,1,synonym,yes,20260702-12A,Employed outside job fair displaying seat covers,MOONLIGHTING
doctor,MB,1,abbreviation,yes,20260703-22A,Bury doctor going after mentor stripped of title,ENTOMB
dodges,HEDGES,1,synonym,yes,20260722-9D,Winger dodges argument about expected score,HEDGESPARROW
domestic residence,FLAT,1,synonym,yes,20260721-4A,Put together solid shape outside domestic residence,CONFLATE
dress,ROBE,1,synonym,yes,20260704-1A,Flash street dress,STROBE
drip,IV,1,abbreviation,yes,20260710-23A,Drip caught by painter working secretly,INPRIVATE
dropped,FELL,1,synonym,yes,20260721-6D,Film director — one has dropped in at the start,FELLINI
drug,E,1,single-letter,yes,20260703-26A,"Hard drug injected in wound made good, at last?",REHEELED
drug,UPPER,1,synonym,yes,20260713-9A,Feature of US drug lawsuit?,UPPERCASE
drunk,LIT,1,synonym,yes,20260629-15D,Very old one stupidly drunk on this in ancient Rome,NEOLITHIC
drunk,SOT,1,synonym,yes,20260724-3D,"Drunk now, like it or not",SOTHERE
dweller on ibiza maybe,ISLANDER,1,synonym,no,20260721-19D,Dweller on Ibiza maybe not one for unjustified defamation?,SLANDER
each,EA,1,abbreviation,yes,20260710-29A,Harder to track each person in a rightish district?,EASTERNER
earl,E,1,abbreviation,yes,20260707-6D,Earl to supply large vessel with guns and flag,EARMARK
east,E,1,single-letter,yes,20260713-5D,Reluctant explorers headed east,AVERSE
eat,CONSUME,1,synonym,yes,20260716-17D,"With order of merit covering uniform, eat soup",CONSOMME
ecstasy,E,1,abbreviation,yes,20260720-25A,Swinger’s gin and ecstasy tablets reported,TRAPEZE
edge,LIP,1,synonym,yes,20260708-23A,Mock support and employment when on edge,LIPSERVICE
editor’s,EDS,1,abbreviation,yes,20260721-8D,Fellows restricted by editor’s changes,EMENDS
editor’s opening,E,1,other,no,20260706-16D,"Airy editor’s opening article, authentic",ETHEREAL
electronic music,TRANCE,1,synonym,yes,20260713-6D,"Play electronic music, receiving cheer of approval",TOLERANCE
elevated,TALL,1,synonym,yes,20260721-20D,Special sandals mostly elevated above air,TALARIA
elite fighting force,SAS,1,abbreviation,yes,20260723-16D,Part of USA where couples survived an elite fighting force,ARKANSAS
employ,Y,1,single-letter,yes,20260722-21D,Boat last to employ crew from Germany?,YACHT
employment,SERVICE,1,synonym,yes,20260708-23A,Mock support and employment when on edge,LIPSERVICE
empty temple,TE,1,other,yes,20260714-24A,"Next to empty temple, shot animals for egg cell?",GAMETE
encountered,MET,1,synonym,yes,20260706-9A,"While around river, one encountered retiring goddess",ARTEMIS
end in catastrophe,E,1,other,no,20260707-3D,Energy cuts end in catastrophe — and darkness,ECLIPSE
ending in final,L,1,other,no,20260706-7D,"Seed, one ending in final, fast getting on top",LENTIL
ending in terrible,E,1,other,no,20260706-26A,"Decline, for example, going into retreat ending in terrible cost",DEGENERATE
enemies,E,1,single-letter,yes,20260702-26A,"Two girls, terrible enemies at first, are a perfect fit for each other",TESSELLATE
enterprise,E,1,other,yes,20260704-29A,Head of enterprise in record temper,ANNEAL
entrance,DOOR,1,synonym,yes,20260716-27A,One giving name getting through entrance,DONOR
equipment,GEAR,1,synonym,yes,20260701-27A,Weapons companies checking defaced equipment,FIREARMS
er …,UM,1,other,yes,20260713-19A,Drive in second? Er …,MOMENTUM
established in position,SITED,1,synonym,yes,20260720-14D,Went back to see vicar I established in position,REVISITED
estate possibly,CAR,1,synonym,yes,20260710-5D,Estate possibly blocking two thirds of Midland city upset intimidating figure in his field?,SCARECROW
european union,EU,1,abbreviation,yes,20260723-22A,Opening words in panto come undone with European Union intervention,ONCEUPONATIME
everyone,ALL,1,synonym,yes,20260720-19D,Parrot got up — everyone got up!,ROSELLA
ex-pm,ATTLEE,1,other,yes,20260630-16D,Retired chap and ex-PM almost go to war,DOBATTLE
excellent,A1,1,abbreviation,yes,20260717-11A,Land excellent jab striking face of boxer in brazen burst,AZERBAIJAN
exchange of shots,RALLY,1,synonym,yes,20260724-13D,Exchange of shots after sit-ins exploited by the left,SINISTRALLY
expected score,PAR,1,synonym,yes,20260722-9D,Winger dodges argument about expected score,HEDGESPARROW
expert,ACE,1,synonym,yes,20260715-19D,"Want expert to contain agricultural disease, note",ABSENCE
explorers,CAVERS,1,synonym,yes,20260713-5D,Reluctant explorers headed east,AVERSE
exposed,OUT,1,synonym,yes,20260723-18D,White flesh is cold and exposed when fleece is inside,COCONUT
express impatience,TUT,1,other,yes,20260706-2D,Instruction to express impatience with delay in middle of speech,TUTELAGE
extra,BYE,1,cricket,yes,20260702-9A,Extra time fills fraction of device’s memory,BYTE
extra payment,TIP,1,synonym,yes,20260702-5D,Extra payment put up to secure very large venture,POSIT
extremely,E,1,other,yes,20260711-8D,"When upset go to bed, heading off extremely gloomy",SATURNINE
extremely,EST,1,other,yes,20260723-19A,Extremely limited art offering information?,BRIEFEST
extremely crafty,CY,1,other,yes,20260713-1A,Extremely crafty quintet brags about disreputable online activity,CYBERSQUATTING
extremely self-confident,ST,1,other,yes,20260714-27A,Start to suspect terrible setter’s extremely self-confident in examination,STRESSTEST
f,F,1,other,yes,20260718-27A,N + L – F? Neat,NIFTY
face of boxer,B,1,other,yes,20260717-11A,Land excellent jab striking face of boxer in brazen burst,AZERBAIJAN
fact,DATUM,1,synonym,yes,20260707-8D,"Essential fact about English team, Reading perhaps",DESIDERATUM
fail,TANK,1,synonym,yes,20260710-28A,"Fail ’eavily, being a mug",TANKARD
failing,LAPSE,1,synonym,yes,20260708-21D,Dated observation failing to save author making a comeback,ESPIAL
fair,LIGHT,1,synonym,yes,20260702-12A,Employed outside job fair displaying seat covers,MOONLIGHTING
fall,CASCADE,1,synonym,yes,20260710-12A,Fall with Valerie for Singleton’s first procession,CAVALCADE
family,KIN,1,synonym,yes,20260629-9A,Family snatch cold cuts and seafood,KINGCRAB
family’s heir,SCION,1,synonym,yes,20260711-15D,Trace family’s heir with input from American detective,SUSPICION
famous,STAR,1,synonym,yes,20260724-20A,Famous printmaker saving a frame for painting,STRETCHER
famous bat,LARA,1,other,yes,20260707-9A,Fish devouring famous bat — suspect treachery?,SMELLARAT
fancy,SWISH,1,synonym,yes,20260723-7D,Fancy taking in piggy?,SWINISH
fantasise,DREAM,1,synonym,yes,20260718-12A,Fantasise removing last of bed sheets,REAM
fast,LENT,1,synonym,yes,20260706-7D,"Seed, one ending in final, fast getting on top",LENTIL
father,PA,1,synonym,yes,20260713-25A,Father travelling again to region of South America,PATAGONIA
feeling less,NUMBER,1,synonym,yes,20260722-13D,Deputy feeling less outspoken as well,NUMBERTWO
fees,RATES,1,synonym,yes,20260711-14A,"Processing unit collects university fees, assisting ministry",CURATESHIP
fellow,MAN,1,synonym,yes,20260721-12A,"Artist, fellow out of this world",MANET
fellows,MEN,1,synonym,yes,20260721-8D,Fellows restricted by editor’s changes,EMENDS
female domestic,MAID,1,synonym,yes,20260707-7A,Female domestic avoiding male helper,AID
fiddle,VIOLIN,1,synonym,yes,20260717-4D,Dressing’s a fiddle having lost coat,AIOLI
fight,BOUT,1,synonym,yes,20260715-3D,A fight to interrupt reduction in unorthodoxy in this area,HEREABOUTS
film,PIC,1,synonym,yes,20260630-2D,Wind getting up in film of the ocean,PELAGIC
final months,DEC,1,abbreviation,no,20260718-9A,In final months current unit leaves temporary base,DECAMPS
financial wizard,QUANT,1,synonym,yes,20260713-4D,Financial wizard covering a doctor’s 25 per cent cut?,QUADRANT
fine,THIN,1,synonym,yes,20260716-4D,Put fine glue on my doodah,THINGUMMY
fine,OK,1,abbreviation,yes,20260720-1D,Fine area outside South American city,OSAKA
finish off drug,G,1,other,yes,20260629-3D,Finish off drug propping up party animal,DOG
fire,AX,1,synonym,yes,20260717-6D,House fire in US could be malicious prank,HOAX
first day back at work,MON,1,abbreviation,no,20260721-29A,Meat good in the morning first day back at work?,GAMMON
first person,I,1,single-letter,no,20260716-11A,First person to go in to admire brown study,REVERIE
first question,QI,1,other,no,20260707-24A,Irish-American with first question for Arab?,IRAQI
fish,SMELT,1,synonym,yes,20260707-9A,Fish devouring famous bat — suspect treachery?,SMELLARAT
fish,TUNA,1,synonym,yes,20260707-27A,Tail removed from fish in barrel,TUN
fish,GRAYLING,1,synonym,yes,20260718-24D,Half of fish can be bleak in Chesapeake Bay,GRAY
fish,LING,1,synonym,yes,20260723-10A,Caught fish? Hold on tight,CLING
flag,TIRE,1,synonym,yes,20260723-27A,One no longer working on carrying English flag,RETIREE
fleece,CON,1,synonym,yes,20260723-18D,White flesh is cold and exposed when fleece is inside,COCONUT
fling,HURL,1,synonym,yes,20260711-5A,Constant husband charged with fling remains grumpy,CHURLISH
floor,R,1,other,yes,20260701-1A,"At last, floor space charge generates profit",REWARD
floozy,TROLLOP,1,synonym,yes,20260630-10A,"Soldiers left Lima, fleeing from floozy",TROOP
florence,FLO,1,abbreviation,yes,20260711-2D,Draw line between Florence and those surrounding settlements,FLOSS
florida,FL,1,abbreviation,yes,20260710-1D,Shy away from Florida island,FLINCH
following,POST,1,synonym,yes,20260703-21A,Alphanumeric string of six or seven characters following pseudo key,POSTCODE
following,F,1,abbreviation,yes,20260718-2D,What comforts party perhaps as following disappears,UNCTION
football club,VILLA,1,other,yes,20260701-21A,Brief stint to improve football club before unlimited team growth,BOUGAINVILLAEA
for,PRO,1,synonym,yes,20260713-1D,Token for trial demo (a responsive one),COUNTERPROTEST
for example,EG,1,abbreviation,yes,20260706-26A,"Decline, for example, going into retreat ending in terrible cost",DEGENERATE
for one,EG,1,abbreviation,yes,20260714-21D,Outlet for one topless outfit,EGRESS
force,RN,1,abbreviation,yes,20260722-25A,"Polar bear’s back, on returning with particular force?",NORTHERN
former,PAST,1,synonym,yes,20260704-13A,Misuse needles right outside former church,DROPASTITCH
former partner,EX,1,abbreviation,yes,20260708-3D,Infuriate former partner according to judges after losing case,EXASPERATE
free,E,1,single-letter,yes,20260722-20A,"Finally free, so all possible",EVERY
friar,DOM,1,abbreviation,yes,20260721-1D,Friar turning up in various plays — musical contribution to worship,PSALMODY
friend,AMI,1,foreign,yes,20260708-25A,Angers friend involved in race relations,FAMILY
from,OF,1,synonym,yes,20260724-4D,"From attempt to catch salmon, maybe bears suffer cold",STANDOFFISH
fruit,LEMON,1,synonym,yes,20260629-19D,Bill eats fruit out of English tree,ALMOND
fruit,DATE,1,synonym,yes,20260715-15D,"Difficulty about large fruit, one encountered for the first time?",BLINDDATE
fuel to burn,COAL,1,synonym,yes,20260710-13A,"Set fuel to burn, suppressing naked anger",CONGEAL
fully,WELL,1,synonym,yes,20260704-21D,"Blair’s men, fully",ORWELL
functions,ROLES,1,synonym,yes,20260703-14D,Fabulous man with cape interrupting functions,ANDROCLES
funny,RUM,1,synonym,yes,20260724-6D,Funny comic perhaps uncovered her ferret,RUMMAGE
fury,RAGE,1,synonym,yes,20260716-23A,I’m thinking black fury brings offence,UMBRAGE
gazette,E,1,other,yes,20260716-8D,Los Angeles Gazette finally covers bridge game,LACROSSE
germanic character,THORN,1,other,yes,20260630-12D,Walking stick of grim Germanic character,BLACKTHORN
getting on,OLD,1,synonym,yes,20260706-12A,"Cleanser in middle of kitchen getting on with stuff, filled with energy",COLDCREAM
gin,TRAP,1,synonym,yes,20260720-25A,Swinger’s gin and ecstasy tablets reported,TRAPEZE
girl’s,MAIDS,1,synonym,yes,20260716-10A,Displaced area in girl’s haunches and in the waist,AMIDSHIPS
glen,DALE,1,synonym,yes,20260714-1D,"Confused, Glen catches a couple of zeds in appropriate place",BEDAZZLED
glue,GUM,1,synonym,yes,20260716-4D,Put fine glue on my doodah,THINGUMMY
go to bed,TURN IN,1,synonym,yes,20260711-8D,"When upset go to bed, heading off extremely gloomy",SATURNINE
goes back and forth,TACKS,1,synonym,no,20260714-1A,Money goes back and forth for essentials,BRASSTACKS
golden,AURI,1,synonym,yes,20260723-14D,Author’s less wise when book becomes mostly golden,DUMAURIER
golf,G,1,nato,yes,20260717-27A,Like to enter clubs wearing golf jacket,CASING
good,NICE,1,synonym,yes,20260706-14A,Superb quality in publication with good binding provided by New Church,MAGNIFICENCE
goose’s,G,1,other,yes,20260703-24D,"Say, goose’s beginning",EGG
got up,ROSE,1,synonym,yes,20260720-19D,Parrot got up — everyone got up!,ROSELLA
gracious,MY,1,other,yes,20260723-13A,A gracious party hosting 500? It’s a bit of a thinker,AMYGDALA
grass,REED,1,synonym,yes,20260701-26A,Grass company really cutting back parts obtained from waste,RECOVERED
greek,G,1,single-letter,yes,20260708-12A,Lead character in Greek writer’s play,GIVE
gretna,ET,1,other,yes,20260702-13D,"Couple in middle of Gretna wearing wreathes, madly in love",SWEETHEART
grid,GRATING,1,synonym,yes,20260704-20A,Considering grid without beginning on it,RATING
grim,BLACK,1,synonym,yes,20260630-12D,Walking stick of grim Germanic character,BLACKTHORN
grotto,BOWER,1,synonym,yes,20260723-12D,"Have nothing left in grotto, say, for one making deliveries",FASTBOWLER
group,SET,1,synonym,yes,20260706-8D,Start unfashionable group,OUTSET
growing substantially,TREBLING,1,synonym,yes,20260715-7D,Fearful male stops growing substantially?,TREMBLING
guarantee,ENSURE,1,synonym,yes,20260706-4D,Guarantee yielding right result,ENSUE
guitar,STRAT,1,abbreviation,yes,20260703-12D,Protest band from US — one containing guitar,REMONSTRATE
guns,ARM,1,synonym,yes,20260707-6D,Earl to supply large vessel with guns and flag,EARMARK
handler of money,CASHIER,1,synonym,yes,20260721-13A,Handler of money paper boss sacked,CASHIERED
hanging about,HOVERING,1,synonym,yes,20260716-14D,Nothing is gained by hanging about and sucking up,HOOVERING
harder,STERNER,1,synonym,yes,20260710-29A,Harder to track each person in a rightish district?,EASTERNER
harm,INJURE,1,synonym,yes,20260707-13A,"Jack, released from harm, put into operation",INURE
harry,EX,1,other,yes,20260703-5D,Harry wanting very spacious case,EXAMPLE
has eaten,DINED,1,synonym,yes,20260707-12A,Exhausted academician has eaten outside,DRAINED
has to,MUST,1,synonym,yes,20260723-26A,Boat Race coverage has to hurt after losing final 1-0,MUSTACHIO
haunches,HIPS,1,synonym,yes,20260716-10A,Displaced area in girl’s haunches and in the waist,AMIDSHIPS
have nothing,FAST,1,synonym,yes,20260723-12D,"Have nothing left in grotto, say, for one making deliveries",FASTBOWLER
having the benefit of,ENJOYING,1,synonym,no,20260710-6D,Order having the benefit of ignoring leaders of youth groups,ENJOIN
head,DOME,1,synonym,yes,20260718-8D,Measuring device’s safe when put round head,PEDOMETER
head of local,L,1,other,no,20260713-10A,Admit to knowing head of local school,LETON
healthy,FIT,1,synonym,yes,20260704-14A,Not entirely well after reverse of healthy snack,TIFFIN
helping,AID,1,synonym,yes,20260710-21D,Helping served up during pub’s spicy meal,INDIAN
hem in,THRONG,1,synonym,yes,20260718-23D,Right leaving hem in skimpy garment,THONG
henry v as a young man,HAL,1,other,no,20260720-6A,Painter of Henry V as a young man,HALS
her,HANDER,1,other,yes,20260701-13D,Sinister individual abandoned description of her?,LEFTHANDER
her,E,1,other,yes,20260724-6D,Funny comic perhaps uncovered her ferret,RUMMAGE
him,H,1,single-letter,yes,20260701-11A,Turner and others reflecting about what gets him going,LATHE
hired,LET,1,synonym,yes,20260718-15A,Cold dash in a hired car having unfixed roof,CABRIOLET
historical times,AGES,1,synonym,yes,20260720-13A,Woman’s name in historical times,AGNES
hoarse,GRAVELLY,1,synonym,yes,20260716-28A,"Seriously hoarse, missing a line",GRAVELY
holiday,BREAK,1,synonym,yes,20260708-16A,Get used to holiday home,BREAKIN
holy,PI,1,synonym,yes,20260706-25A,Paint holy man taking Mass,PIGMENT
home,NEST,1,synonym,yes,20260714-15D,Only home with motorway running through it is extremely awe-inspiring,SOLEMNEST
hospital department,ENT,1,abbreviation,yes,20260707-17A,Superb basic unit in old hospital department,EXCELLENT
hot,H,1,single-letter,yes,20260718-14A,Suspicion of hot meal that’s left out,HUNCH
house,E,1,other,yes,20260716-21D,"In a perfect world, I mooch around rear of house",IDEALLY
house,HO,1,abbreviation,yes,20260717-6D,House fire in US could be malicious prank,HOAX
how unpleasant,UGH,1,other,yes,20260723-2D,"How unpleasant to cut half of pudding, or thereabouts",ROUGHLY
hurt,ACHE,1,synonym,yes,20260723-26A,Boat Race coverage has to hurt after losing final 1-0,MUSTACHIO
i don’t know,ER,1,other,yes,20260716-22D,Little pet I don’t know catches a church mouse,PAUPER
identity,ID,1,abbreviation,yes,20260711-3D,Republicans’ preferred leader now concealing identity,PRESIDENT
if,I,1,single-letter,yes,20260702-15A,Stomach pains pass if caught in the earliest stages,COLIC
imitate,APE,1,synonym,yes,20260711-20D,Can it imitate fashion?,SHAPE
improve,GAIN,1,synonym,yes,20260701-21A,Brief stint to improve football club before unlimited team growth,BOUGAINVILLAEA
in,HOT,1,synonym,yes,20260630-3D,Place to stay in centre of Medellin,HOTEL
in,I,1,single-letter,yes,20260722-7D,Country’s top player first of all in cup appearance,COSTARICA
in oil,NI,1,other,yes,20260713-7D,Type of salt regularly in oil and stock,NITRITE
in the morning,AM,1,abbreviation,yes,20260721-29A,Meat good in the morning first day back at work?,GAMMON
inaccurate,OFF,1,synonym,yes,20260711-1A,Inaccurate stroke perfected by repetition,OFFPAT
individual,PERSON,1,synonym,yes,20260718-14D,String up individual losing power and followers,HANGERSON
information,GEN,1,synonym,yes,20260720-10A,Invasive element’s current information on American conservation society,ANTIGEN
initially referencing,R,1,other,no,20260630-4D,Old man scowls after initially referencing <i>Chambers</i>,PARLOURS
injure,MAR,1,synonym,yes,20260629-14A,Injure supporter in capital relocating northern star,MARLONBRANDO
insect,ANT,1,synonym,yes,20260721-15D,Angry about one insect in food item,CROISSANT
insensitive,DEAD,1,synonym,yes,20260706-6D,"Estimation of position that’s insensitive about country’s leader, monarch carrying on",DEADRECKONING
inside,SI,1,other,yes,20260720-20A,She predicts crux of inside line on Times,SIBYL
inspection,N,1,single-letter,yes,20260722-19D,Head going mad over inspection’s conclusion,NOGGIN
inspector,DI,1,abbreviation,yes,20260704-28A,Inspector swaggers bringing forward last suspect,DISTRUST
instruction to boxer,SIT,1,synonym,yes,20260703-6A,"Fuss, saying instruction to boxer making comeback?",TISWAS
instrument,PIANOLA,1,synonym,yes,20260715-11A,Chap’s instrument transferring current in Caribbean island,HISPANIOLA
insurance,COVER,1,synonym,yes,20260701-15D,City in which you must be protected by vehicle insurance,VANCOUVER
intended,DELIBERATE,1,synonym,yes,20260708-6D,Shop intended to give away carpet,DELI
international,I,1,abbreviation,yes,20260629-16D,An international compiler failing to finish drink,ANISETTE
investigation,CASE,1,synonym,yes,20260717-16D,Copper led empty investigation up close,CULDESAC
investigator,DET,1,abbreviation,yes,20260721-28A,"Investigator made a mistake, being put off",DETERRED
irish,IR,1,abbreviation,yes,20260702-4D,Irish serviceman not meeting expected standards,IRREGULAR
irish-american,IRA,1,abbreviation,yes,20260707-24A,Irish-American with first question for Arab?,IRAQI
is able to,CAN,1,synonym,yes,20260718-26A,Potential hazard to life volunteer is able to duck,VOLCANO
is in french,EST,1,foreign,yes,20260630-28A,Gide novel is in French and most intense,EDGIEST
isaac,C,1,single-letter,yes,20260722-6D,Patriarch embraces Rebecca and Isaac ultimately — their son?,JACOB
island,I,1,abbreviation,yes,20260629-2D,Hostile island to the north of California supports mini uprising,INIMICAL
island,INCH,1,synonym,yes,20260710-1D,Shy away from Florida island,FLINCH
it,IT,1,other,yes,20260716-16D,"Dispatch salad plant, having wrapped it",CELERITY
item required,MUST,1,synonym,yes,20260715-22D,Divert item required for the most part in A&E,AMUSE
its location,SITE,1,synonym,yes,20260711-13D,"Eg “One giant leap”, its location given by Spooner?",SOUNDBITE
i’m enjoying this,WHEE,1,other,yes,20260713-18D,I’m enjoying this story — it may well be full of rubbish,WHEELIE
i’m not sure what to say,ER,1,other,no,20260708-17A,I’m not sure what to say out of respect for legal argument,DEFENCE
i’m obliged,TA,1,synonym,yes,20260629-22A,I’m obliged to enter swanky compound,POTASH
i’m thinking,UM,1,other,yes,20260716-23A,I’m thinking black fury brings offence,UMBRAGE
jack,J,1,abbreviation,yes,20260707-13A,"Jack, released from harm, put into operation",INURE
jeopardy,DANGER,1,synonym,yes,20260720-3D,Selfish person one might cast in <i>Jeopardy</i>,DOGINTHEMANGER
joint head of faculty,CODEAN,1,synonym,no,20260630-20D,Number of joint head of faculty read out,CODEINE
jolly,VERY,1,synonym,yes,20260706-18A,European with jolly temper receiving love periodically,EVERYSOOFTEN
journalist,ED,1,abbreviation,yes,20260707-7D,Article: story upcoming beat journalist turned away,ALIENATED
judges,RATE,1,synonym,yes,20260708-3D,Infuriate former partner according to judges after losing case,EXASPERATE
judicial examination,TRIAL,1,synonym,yes,20260714-3D,Court raised point during judicial examination,TRIBUNAL
jury,UR,1,other,yes,20260711-5D,"Honesty positively helpful with jury, getting case dismissed",CANDOUR
just,RIGHT,1,synonym,yes,20260717-7D,Book digests just scrap source of many ideas,BRIGHTSPARK
keeling over,FALLING,1,synonym,yes,20260716-9A,"Edges away, keeling over exhausted",ALLIN
keen,MOURN,1,synonym,yes,20260702-16A,Spooner’s keen for cow as grass management aid,LAWNMOWER
kelvin,K,1,abbreviation,yes,20260707-15A,Curry perhaps one Kelvin creates when drunk,ICESKATER
key,CODE,1,synonym,yes,20260703-21A,Alphanumeric string of six or seven characters following pseudo key,POSTCODE
key,C,1,music,yes,20260704-27A,Nobelium is processed by key plant,COLUMBINE
